doctor_id,doctor_name,gender,specialization,experience_years,dept_id,hospital_id,employment_type,avg_consultation_time_min
1,Sneha Smith,F,Dermatology,4,1,1,Contract,31
2,Robert Taylor,M,Dermatology,29,1,1,Contract,27
3,James Taylor,M,Dermatology,26,1,1,Full-time,21
4,Daniel Davis,M,Dermatology,2,1,1,Contract,19
5,Sophia Moore,M,Radiology,14,2,1,Full-time,25
6,Daniel Khan,M,Radiology,15,2,1,Full-time,17
7,David White,M,Radiology,14,2,1,Full-time,32
8,Liam Kumar,M,Radiology,28,2,1,Full-time,34
9,Liam Jackson,M,Radiology,30,2,1,Part-time,17
10,Emma Harris,F,Radiology,21,2,1,Full-time,25
11,Noah Miller,F,Oncology,18,3,1,Part-time,24
12,Daniel Thomas,F,Oncology,21,3,1,Full-time,33
13,David Wilson,M,Oncology,26,3,1,Part-time,34
14,John White,M,Oncology,28,3,1,Contract,37
15,David Smith,M,Oncology,28,3,1,Contract,22
16,Sarah Wilson,M,Oncology,9,3,1,Full-time,38
17,Sophia Kumar,M,Oncology,15,3,1,Part-time,22
18,Liam Miller,M,Gynecology,25,4,1,Contract,16
19,Ava White,F,Gynecology,9,4,1,Full-time,33
20,Liam Anderson,M,Gynecology,1,4,1,Full-time,21
21,Priya Anderson,F,Neurology,19,5,1,Part-time,26
22,Ravi Thomas,M,Neurology,8,5,1,Contract,12
23,Priya Johnson,F,Neurology,3,5,1,Contract,10
24,Sophia Patel,M,Neurology,27,5,1,Full-time,14
25,Emily Jackson,F,Neurology,10,5,1,Full-time,16
26,Ravi Davis,F,Pediatrics,9,6,1,Part-time,37
27,David Kumar,F,Pediatrics,7,6,1,Contract,18
28,Priya Johnson,M,Pediatrics,8,6,1,Full-time,21
29,David Davis,F,Pediatrics,2,6,1,Part-time,10
30,Liam Miller,F,Cardiology,3,7,1,Full-time,21
31,Robert Lopez,M,Cardiology,8,7,1,Part-time,31
32,Likhita Thomas,F,Cardiology,27,7,1,Part-time,12
33,Noah Moore,M,Cardiology,1,7,1,Full-time,12
34,James Miller,M,Cardiology,5,7,1,Contract,24
35,Noah Johnson,F,Cardiology,14,7,1,Full-time,12
36,Sarah White,F,Cardiology,1,7,1,Contract,14
37,Emma Davis,M,Emergency,23,8,2,Contract,23
38,Michael Davis,M,Emergency,7,8,2,Contract,36
39,Michael Wilson,F,Emergency,9,8,2,Full-time,24
40,Ava Wilson,M,Emergency,15,8,2,Contract,35
41,Michael Anderson,F,Orthopedics,28,9,2,Part-time,22
42,Emily Garcia,M,Orthopedics,19,9,2,Part-time,16
43,Olivia Brown,F,Orthopedics,17,9,2,Part-time,29
44,Sophia Kumar,M,Orthopedics,29,9,2,Part-time,13
45,Ava Patel,M,Dermatology,23,10,2,Contract,16
46,Emily Taylor,F,Dermatology,13,10,2,Full-time,24
47,Daniel Kumar,M,Dermatology,11,10,2,Part-time,38
48,James Davis,F,Dermatology,4,10,2,Contract,22
49,James Harris,M,Dermatology,7,10,2,Contract,36
50,Noah Khan,M,Dermatology,19,10,2,Full-time,31
51,Likhita Patel,M,Dermatology,28,10,2,Contract,11
52,Noah Brown,F,Oncology,13,11,2,Part-time,39
53,Emily Garcia,M,Oncology,25,11,2,Contract,30
54,Likhita Taylor,F,Oncology,6,11,2,Part-time,37
55,Sarah Kumar,F,Oncology,28,11,2,Part-time,21
56,Sarah Smith,F,Cardiology,20,12,2,Full-time,39
57,Likhita Davis,F,Cardiology,30,12,2,Contract,20
58,Ravi Jackson,M,Cardiology,26,12,2,Full-time,32
59,Michael Brown,M,Cardiology,28,12,2,Part-time,34
60,Ava Jackson,M,Cardiology,7,12,2,Part-time,39
61,Anita Johnson,F,Cardiology,1,12,2,Part-time,10
62,Sarah Martinez,M,Pediatrics,27,13,2,Contract,39
63,David Patel,F,Pediatrics,25,13,2,Contract,29
64,Ravi Harris,M,Pediatrics,13,13,2,Full-time,18
